day,symbol,direction,breakout_candle,entry_candle,detected_at,c1_high,c1_low,c1_width_pct,coil_high,coil_low,coil_use_pct,coil_avg_volume,breakout_vol_ratio,entry,target,stop,stop_pct,cost_pct,breakeven_hit_rate,status,outcome,realized_pct,resolved_candle,resolved_at
2026-08-26,WIPRO,SELL,10:45,11:00,2026-08-30T07:08:39Z,180.95,179.63,0.7348438456827886,180.76,179.79,73.48484848484877,263745.25,2.5852181224116833,179.5000,177.7050,180.9500,0.8078,0.1060,50.5501,RESOLVED,TARGET,1.0000,13:00,2026-09-06T07:05:43Z
2026-08-26,EICHERMOT,BUY,11:00,11:15,2026-08-30T07:08:30Z,8097.0,8031.5,0.8155388159123452,8070.0,8037.0,50.38167938931297,8262.5,2.572586989409985,8096.0000,8176.9600,8031.5000,0.7967,0.1060,50.2443,RESOLVED,FIZZLE,-0.2717,15:15,2026-09-06T07:05:46Z
2026-08-27,ITC,SELL,10:30,10:45,2026-08-30T06:23:51Z,271.25,269.5,0.6493506493506493,270.85,269.55,74.28571428571493,361515.75,0.9838824449557177,269.2500,266.5575,271.2500,0.7428,0.1060,48.7059,RESOLVED,FIZZLE,0.1857,15:15,2026-09-06T07:05:49Z
2026-08-27,BAJFINANCE,SELL,10:45,11:00,2026-08-30T06:23:44Z,1107.0,1090.0,1.5596330275229358,1106.0,1090.3,92.35294117647086,307565.75,0.27769997146951503,1089.2000,1078.3080,1107.0000,1.6342,0.1060,66.0639,RESOLVED,FIZZLE,0.5050,15:15,2026-09-06T07:05:51Z
2026-08-27,HDFCLIFE,SELL,10:45,11:00,2026-08-30T06:23:48Z,557.0,553.1,0.7051166154402417,555.3,553.1,56.41025641025499,60083.75,0.7704745459462833,553.0500,547.5195,557.0000,0.7142,0.1060,47.8507,RESOLVED,FIZZLE,-0.0814,15:15,2026-09-06T07:05:54Z
2026-08-31,CIPLA,BUY,10:30,10:45,2026-08-31T11:18:12Z,1420.0,1411.6,0.5950694247662291,1419.9,1414.4,65.47619047618977,16495.25,1.322016944271836,1423.1000,1437.3310,1411.6000,0.8081,0.1060,50.5582,RESOLVED,STOP,-0.8081,11:30,2026-09-06T07:55:44Z
2026-08-31,ULTRACEMCO,SELL,10:45,11:00,2026-08-31T11:18:23Z,11560.0,11450.0,0.9606986899563319,11483.0,11452.0,28.18181818181818,3654.5,1.5279792037214392,11440.0000,11325.6000,11560.0000,1.0490,0.1060,56.3701,RESOLVED,FIZZLE,-0.5245,15:15,2026-09-06T07:55:45Z
2026-08-31,TECHM,SELL,11:00,11:15,2026-08-31T11:18:20Z,1640.9,1617.8,1.4278650018543786,1635.0,1620.2,64.0692640692635,69787.5,0.5385778255418234,1617.0000,1600.8300,1640.9000,1.4780,0.1060,63.9250,RESOLVED,FIZZLE,-0.1855,15:15,2026-09-06T07:55:48Z
2026-09-02,M&M,SELL,10:45,11:00,2026-09-02T13:43:17Z,3229.6,3178.1,1.6204650577389006,3205.2,3181.0,46.99029126213557,74422.0,5.64056327430061,3174.4000,3142.6560,3229.6000,1.7389,0.1060,67.3609,RESOLVED,TARGET,1.0000,11:45,2026-09-02T13:43:18Z
2026-09-02,HINDUNILVR,SELL,11:15,11:30,2026-09-02T13:43:13Z,1983.8,1969.0,0.7516505840528164,1980.2,1971.2,60.810810810811,39260.5,1.7515059665567174,1966.6000,1946.9340,1983.8000,0.8746,0.1060,52.3124,RESOLVED,FIZZLE,-0.3509,15:15,2026-09-06T07:06:04Z
2026-09-02,BAJFINANCE,BUY,12:15,12:30,2026-09-02T13:43:08Z,1045.5,1035.4,0.9754684180026955,1041.5,1036.5,49.50495049504995,229891.5,0.7554259291883345,1047.2000,1057.6720,1035.4000,1.1268,0.1060,57.9674,RESOLVED,TARGET,1.0000,14:00,2026-09-06T07:06:07Z
2026-09-03,TMPV,SELL,10:30,10:45,2026-09-03T13:45:04Z,314.25,312.05,0.7050152219195605,313.2,312.35,38.63636363636228,143620.5,1.4728120289234476,311.8500,308.7315,314.2500,0.7696,0.1060,49.4827,RESOLVED,FIZZLE,0.4329,15:15,2026-09-06T07:06:10Z
2026-09-03,NESTLEIND,SELL,11:15,11:30,2026-09-03T13:45:03Z,1424.1,1413.5,0.7499115670321832,1421.5,1414.5,66.03773584905717,16494.5,0.6617963563612113,1413.5000,1399.3650,1424.1000,0.7499,0.1060,48.9143,RESOLVED,FIZZLE,-0.0424,15:15,2026-09-06T07:06:12Z
2026-09-03,HINDUNILVR,SELL,11:30,11:45,2026-09-03T13:45:01Z,1978.9,1966.7,0.6203284690090022,1976.0,1967.3,71.31147540983618,34435.0,1.1018440540148104,1966.2000,1946.5380,1978.9000,0.6459,0.1060,45.6865,RESOLVED,FIZZLE,0.3001,15:15,2026-09-06T07:06:14Z
2026-09-03,BAJAJ-AUTO,SELL,12:00,12:15,2026-09-03T13:44:57Z,12191.0,12060.0,1.086235489220564,12165.0,12070.0,72.51908396946564,27509.75,0.10447205081834622,12041.0000,11920.5900,12191.0000,1.2457,0.1060,60.1934,RESOLVED,FIZZLE,0.3488,15:15,2026-09-06T07:06:17Z
2026-09-04,LT,BUY,10:30,10:45,2026-09-04T13:40:42Z,3990.0,3966.6,0.5899258811072479,3989.9,3970.4,83.333333333333,52241.5,0.28100265114899076,3992.7000,4032.6270,3966.6000,0.6537,0.1060,45.9419,RESOLVED,FIZZLE,-0.4558,15:15,2026-09-06T07:06:19Z
2026-09-04,APOLLOHOSP,SELL,10:45,11:00,2026-09-04T13:40:31Z,8740.0,8694.0,0.5291005291005291,8719.5,8702.0,38.04347826086957,8074.0,1.421476343819668,8687.0000,8600.1300,8740.0000,0.6101,0.1060,44.4785,RESOLVED,FIZZLE,0.4087,15:15,2026-09-06T07:06:20Z
2026-09-04,INFY,SELL,10:45,11:00,2026-09-04T13:40:40Z,1146.7,1133.0,1.209179170344223,1144.0,1135.2,64.23357664233522,181255.25,1.8280132575470227,1129.6000,1118.3040,1146.7000,1.5138,0.1060,64.4383,RESOLVED,FIZZLE,0.0797,15:15,2026-09-06T07:06:22Z
2026-09-04,HDFCBANK,BUY,11:00,11:15,2026-09-04T13:40:37Z,711.85,708.35,0.4941060210347991,711.8,708.65,89.99999999999935,538400.5,1.6621994221773568,712.8500,719.9785,708.3500,0.6313,0.1060,45.1988,RESOLVED,FIZZLE,0.3367,15:15,2026-09-06T07:06:23Z
2026-09-04,SBIN,BUY,11:15,11:30,2026-09-04T13:40:46Z,1026.6,1020.5,0.5977462028417353,1026.0,1021.5,73.7704918032798,142281.5,1.2076903884201389,1027.5000,1037.7750,1020.5000,0.6813,0.1060,46.8284,RESOLVED,STOP,-0.6813,13:30,2026-09-04T13:40:46Z
2026-09-04,BAJAJFINSV,SELL,12:00,12:15,2026-09-04T13:40:33Z,1994.2,1981.4,0.6460078732209525,1993.8,1985.5,64.84374999999987,9399.5,8.150752699611681,1978.1000,1958.3190,1994.2000,0.8139,0.1060,50.7168,RESOLVED,FIZZLE,0.1820,15:15,2026-09-06T07:06:24Z
2026-09-04,TATACONSUM,SELL,12:30,12:45,2026-09-04T13:40:48Z,1022.9,1013.5,0.9274790330537719,1019.8,1013.9,62.765957446808414,36958.0,1.6132637047459277,1011.0000,1000.8900,1022.9000,1.1771,0.1060,58.9374,RESOLVED,FIZZLE,0.1583,15:15,2026-09-06T07:06:26Z
2026-09-07,COALINDIA,SELL,10:30,10:45,2026-09-07T05:16:16Z,420.3,415.55,1.1430634099386356,418.7,416.2,52.63157894736842,1018890.0,0.20668865137551648,414.8500,410.7015,420.3000,1.3137,0.1060,61.3630,RESOLVED,FIZZLE,-0.4942,15:15,2026-09-07T10:01:15Z
2026-09-08,ONGC,SELL,10:45,11:00,2026-09-08T05:31:17Z,234.8,232.52,0.980560811973164,233.98,232.78,52.6315789473679,154133.0,2.4147392187266843,232.6800,230.3532,234.8000,0.9111,0.1060,53.2236,RESOLVED,STOP,-0.9111,13:15,2026-09-08T08:01:18Z
2026-09-09,ULTRACEMCO,SELL,12:00,12:15,2026-09-09T06:46:21Z,10998.0,10931.0,0.6129356874942823,10994.0,10936.0,86.56716417910447,9062.75,1.822625582742545,10921.0000,10811.7900,10998.0000,0.7051,0.1060,47.5706,RESOLVED,FIZZLE,0.3754,15:15,2026-09-09T10:01:22Z
